aadhar_no,travel_date,mode,state
464868476245,06-02-2022 00:53,Flight,Odisha
200793684305,06-02-2022 16:30,Train,Odisha
565635798730,06-02-2022 07:00,Flight,Odisha
113133527121,06-02-2022 12:18,Bus,Odisha
247467871978,06-02-2022 06:50,Flight,Odisha
261933688947,06-02-2022 11:46,Train,Odisha
590486317048,06-02-2022 15:14,Train,Odisha
284501517396,06-02-2022 06:40,Bus,Odisha
209768016732,06-02-2022 03:80,Bus,Odisha
121315825060,06-02-2022 13:13,Train,Odisha
400577067780,06-02-2022 08:44,Train,Odisha
152694972177,06-02-2022 17:21,Flight,Gujarat
236970240418,06-02-2022 17:19,Flight,Gujarat
322552004532,06-02-2022 13:38,Bus,Gujarat
710600366089,06-02-2022 09:13,Flight,Gujarat
723518478251,06-02-2022 16:33,Train,Gujarat
547848819339,06-02-2022 00:14,Flight,Gujarat
262134879645,06-02-2022 10:10,Train,Gujarat
613268010857,06-02-2022 22:60,Bus,Gujarat
742835488712,06-02-2022 08:52,Flight,Gujarat
952922408775,06-02-2022 00:54,Train,Gujarat
553045251480,06-02-2022 22:15,Bus,Gujarat
900693522725,06-02-2022 07:10,Bus,Uttar Pradesh
485828783943,06-02-2022 03:30,Flight,Uttar Pradesh
732644567201,06-02-2022 09:41,Train,Uttar Pradesh
774166690979,06-02-2022 03:29,Bus,Uttar Pradesh
611013467175,06-02-2022 06:28,Flight,Uttar Pradesh
227823987099,06-02-2022 14:42,Train,Uttar Pradesh
404866377031,06-02-2022 19:49,Train,Uttar Pradesh
585761477303,06-02-2022 03:56,Flight,Uttar Pradesh
974790736419,06-02-2022 18:46,Bus,Uttar Pradesh
511892392570,06-02-2022 07:37,Flight,Uttar Pradesh
536155954030,06-02-2022 18:43,Bus,Uttar Pradesh
