aadhar_no,travel_date,mode
552830341259,01-02-2022 05:00,Bus
358458741222,01-02-2022 08:15,Flight
768867010264,01-02-2022 14:39,Train
432428244564,01-02-2022 21:10,Train
937265056793,01-02-2022 06:50,Bus
252887382939,01-02-2022 16:48,Train
598578933944,01-02-2022 18:30,Bus
405157001608,01-02-2022 01:58,Flight
801603009594,01-02-2022 22:12,Flight
387687994193,01-02-2022 03:52,Bus
458063322439,01-02-2022 05:32,Flight
881043004540,01-02-2022 19:52,Flight
790901705507,01-02-2022 22:10,Train
406268363952,01-02-2022 17:70,Bus
267589261980,01-02-2022 02:43,Bus
734272251799,01-02-2022 13:22,Flight
349859532590,01-02-2022 22:60,Flight
428870555845,01-02-2022 15:10,Bus
557964198972,01-02-2022 10:10,Train
337545761065,01-02-2022 12:45,Train
627602326665,01-02-2022 12:42,Train
452123534223,01-02-2022 21:29,Train
236379056189,01-02-2022 22:30,Flight
239550879742,01-02-2022 16:45,Bus
224975193819,01-02-2022 10:15,Bus
714089253793,01-02-2022 06:13,Train
972091484172,01-02-2022 06:36,Flight
456287821102,01-02-2022 19:38,Flight
554037480257,01-02-2022 12:21,Train
279143536675,01-02-2022 15:11,Bus
